configuration,initialization,learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,selected_epoch
"small, lr=0.001",small,0.001,654571,23,1.0840932997166246,0.77326,1.0564644767918132,0.7733,100
"small, lr=0.001",small,0.001,654571,24,1.0247122165178064,0.78256,1.0004294964398366,0.7819,100
"small, lr=0.001",small,0.001,654571,25,0.9721823910573973,0.79104,0.9508059614872348,0.7895,100
"small, lr=0.001",small,0.001,654571,26,0.9256584559791298,0.79802,0.9067910412259605,0.7978,100
"small, lr=0.001",small,0.001,654571,27,0.8843345134277124,0.80356,0.8675852298302347,0.8032,100
"small, lr=0.001",small,0.001,654571,28,0.8474545452738009,0.80878,0.8325805906973214,0.8085,100
"small, lr=0.001",small,0.001,654571,29,0.8144764976345507,0.81442,0.8011752721043973,0.8124,100
"small, lr=0.001",small,0.001,654571,30,0.7848124638026642,0.81858,0.7728461134018281,0.8164,100
"small, lr=0.001",small,0.001,654571,31,0.7580486644472443,0.82282,0.7472639751198575,0.82,100
"small, lr=0.001",small,0.001,654571,32,0.7337951870554077,0.82628,0.7239832589560808,0.8246,100
"small, lr=0.001",small,0.001,654571,33,0.7117357451904606,0.82952,0.7027633346747839,0.8281,100
"small, lr=0.001",small,0.001,654571,34,0.6915532871149509,0.83314,0.6835575154612659,0.8302,100
"small, lr=0.001",small,0.001,654571,35,0.6731460762357316,0.836,0.6656573616812028,0.834,100
"small, lr=0.001",small,0.001,654571,36,0.6561790521254773,0.8389,0.6491800335880161,0.8393,100
"small, lr=0.001",small,0.001,654571,37,0.6405574399649951,0.84198,0.6340640986515649,0.8418,100
"small, lr=0.001",small,0.001,654571,38,0.626087751719169,0.84452,0.6200504938608856,0.8443,100
"small, lr=0.001",small,0.001,654571,39,0.6126765682401343,0.84714,0.6069783443045795,0.8476,100
"small, lr=0.001",small,0.001,654571,40,0.6001780815563428,0.84942,0.5947716228948994,0.8509,100
"small, lr=0.001",small,0.001,654571,41,0.5885409913048362,0.8522,0.5834694409489084,0.8521,100
"small, lr=0.001",small,0.001,654571,42,0.577666354690357,0.8542,0.5728369225560178,0.8542,100
"small, lr=0.001",small,0.001,654571,43,0.5674673152780606,0.85588,0.5628301969785314,0.8585,100
"small, lr=0.001",small,0.001,654571,44,0.5579169098266753,0.85842,0.5534203802900332,0.8592,100
"small, lr=0.001",small,0.001,654571,45,0.5489032317036879,0.85972,0.544528611078666,0.8608,100
"small, lr=0.001",small,0.001,654571,46,0.5404317385615549,0.86194,0.5361609844146727,0.8627,100
"small, lr=0.001",small,0.001,654571,47,0.5324221725717287,0.86348,0.5282595227262237,0.8643,100
"small, lr=0.001",small,0.001,654571,48,0.5248451625197714,0.8649,0.5207512861983203,0.8665,100
"small, lr=0.001",small,0.001,654571,49,0.5176810361775978,0.86632,0.5137119871834408,0.868,100
"small, lr=0.001",small,0.001,654571,50,0.5108867843454694,0.86768,0.5068914118825771,0.8687,100
"small, lr=0.001",small,0.001,654571,51,0.5044361388982133,0.86918,0.5004885411155378,0.871,100
"small, lr=0.001",small,0.001,654571,52,0.4982755676680853,0.87064,0.4944234154257027,0.8724,100
"small, lr=0.001",small,0.001,654571,53,0.4924597582028006,0.87166,0.4885129681972645,0.8733,100
"small, lr=0.001",small,0.001,654571,54,0.4868824910722776,0.87296,0.48297218827328414,0.874,100
"small, lr=0.001",small,0.001,654571,55,0.4815571419723959,0.87388,0.4777435991016574,0.8751,100
"small, lr=0.001",small,0.001,654571,56,0.4765034465100695,0.8752,0.4726589820266995,0.876,100
"small, lr=0.001",small,0.001,654571,57,0.47166715318087127,0.87658,0.4677713072525232,0.8763,100
"small, lr=0.001",small,0.001,654571,58,0.4670426359175634,0.87764,0.46315686665735123,0.8773,100
"small, lr=0.001",small,0.001,654571,59,0.46260630301709055,0.87832,0.4587041444442222,0.878,100
"small, lr=0.001",small,0.001,654571,60,0.45836032019364364,0.8795,0.4544152118707116,0.8788,100
"small, lr=0.001",small,0.001,654571,61,0.4542753520686045,0.88004,0.45034802873491797,0.8796,100
"small, lr=0.001",small,0.001,654571,62,0.45036913997420824,0.8811,0.44646308112587324,0.8807,100
"small, lr=0.001",small,0.001,654571,63,0.44661140786965314,0.88176,0.44266697460725274,0.8815,100
"small, lr=0.001",small,0.001,654571,64,0.44300737693501147,0.88252,0.4390226719633567,0.8816,100
"small, lr=0.001",small,0.001,654571,65,0.43953581437351646,0.88316,0.43551226656074343,0.8828,100
"small, lr=0.001",small,0.001,654571,66,0.4361965468589832,0.8837,0.4321356092160704,0.883,100
"small, lr=0.001",small,0.001,654571,67,0.4329733619543042,0.88432,0.4289130800286112,0.8836,100
"small, lr=0.001",small,0.001,654571,68,0.4298676307020749,0.8849,0.4257678357723108,0.8841,100
"small, lr=0.001",small,0.001,654571,69,0.426866916991525,0.88556,0.4227315643719773,0.8846,100
"small, lr=0.001",small,0.001,654571,70,0.4239972587105176,0.88594,0.4198308498872524,0.8858,100
"small, lr=0.001",small,0.001,654571,71,0.42119651762795446,0.88626,0.417067314631515,0.8867,100
"small, lr=0.001",small,0.001,654571,72,0.4185001772430987,0.88722,0.4143428631000199,0.8869,100
"small, lr=0.001",small,0.001,654571,73,0.41589784496455706,0.88768,0.41165223562345066,0.8872,100
"small, lr=0.001",small,0.001,654571,74,0.4133731205128929,0.8884,0.40911759576975454,0.8878,100
"small, lr=0.001",small,0.001,654571,75,0.41092789587458317,0.88874,0.40664371448409353,0.8887,100
"small, lr=0.001",small,0.001,654571,76,0.4085581786250781,0.8891,0.4042887539762926,0.889,100
"small, lr=0.001",small,0.001,654571,77,0.4062471785765618,0.88994,0.40196252972550545,0.8893,100
"small, lr=0.001",small,0.001,654571,78,0.404032542693024,0.89038,0.39968688434856053,0.8894,100
"small, lr=0.001",small,0.001,654571,79,0.40187095229324354,0.89092,0.397483546198448,0.8901,100
"small, lr=0.001",small,0.001,654571,80,0.3997543124044069,0.89128,0.3955057852396027,0.8903,100
"small, lr=0.001",small,0.001,654571,81,0.39773602322926993,0.8915,0.3933665759640674,0.8912,100
"small, lr=0.001",small,0.001,654571,82,0.3957514819545873,0.89204,0.3913773076668738,0.8916,100
"small, lr=0.001",small,0.001,654571,83,0.3938268812533139,0.89256,0.3894148585547547,0.8922,100
"small, lr=0.001",small,0.001,654571,84,0.3919506626624992,0.89292,0.3875865592192131,0.8933,100
"small, lr=0.001",small,0.001,654571,85,0.39011677950972024,0.89344,0.385717227911176,0.893,100
"small, lr=0.001",small,0.001,654571,86,0.38834762796112204,0.89382,0.38390790191879404,0.8936,100
"small, lr=0.001",small,0.001,654571,87,0.38660296880615524,0.89428,0.3821618776750024,0.8936,100
"small, lr=0.001",small,0.001,654571,88,0.38491769114787117,0.89458,0.38043722787595535,0.8939,100
"small, lr=0.001",small,0.001,654571,89,0.3832610613638428,0.89482,0.3787859151695643,0.8945,100
"small, lr=0.001",small,0.001,654571,90,0.3816479449175631,0.89514,0.3771929975831723,0.8949,100
"small, lr=0.001",small,0.001,654571,91,0.3800746073256383,0.89534,0.3756211895258713,0.8951,100
"small, lr=0.001",small,0.001,654571,92,0.37853288967442844,0.89546,0.3741017628161406,0.8956,100
"small, lr=0.001",small,0.001,654571,93,0.37702724604044713,0.89606,0.37265265532502867,0.8958,100
"small, lr=0.001",small,0.001,654571,94,0.37557557696219185,0.89644,0.3711353561068631,0.8962,100
"small, lr=0.001",small,0.001,654571,95,0.3741339977030689,0.89658,0.3696915577191653,0.8969,100
"small, lr=0.001",small,0.001,654571,96,0.3727278362827028,0.8971,0.3683079286894257,0.8971,100
"small, lr=0.001",small,0.001,654571,97,0.3713508474768419,0.89744,0.36683149631419987,0.8974,100
"small, lr=0.001",small,0.001,654571,98,0.370012824848652,0.89772,0.3655020456076958,0.8977,100
"small, lr=0.001",small,0.001,654571,99,0.36868288090855095,0.89816,0.36419616159510365,0.8983,100
"small, lr=0.001",small,0.001,654571,100,0.36740358707719767,0.89842,0.36290491498615063,0.8985,100
"small, lr=0.001",small,0.001,89250,1,2.300297768314565,0.1931,2.298392101378323,0.2616,100
"small, lr=0.001",small,0.001,89250,2,2.296073417450581,0.32518,2.2938201482150355,0.3695,100
"small, lr=0.001",small,0.001,89250,3,2.290847887522292,0.39994,2.287954006435784,0.4264,100
"small, lr=0.001",small,0.001,89250,4,2.2839995211887865,0.44232,2.280117455848439,0.4445,100
"small, lr=0.001",small,0.001,89250,5,2.2747622964966148,0.4469,2.269485602834794,0.4417,100
"small, lr=0.001",small,0.001,89250,6,2.262230740066199,0.43968,2.255063358315785,0.4352,100
"small, lr=0.001",small,0.001,89250,7,2.2453209085738877,0.42562,2.23569594952995,0.4276,100
"small, lr=0.001",small,0.001,89250,8,2.222768037600902,0.42234,2.210061707324575,0.4298,100
"small, lr=0.001",small,0.001,89250,9,2.193180218355923,0.43608,2.1767535399969584,0.4501,100
"small, lr=0.001",small,0.001,89250,10,2.155168416693535,0.46236,2.1344340927218277,0.4833,100
"small, lr=0.001",small,0.001,89250,11,2.107487150510468,0.50178,2.081959133516917,0.5297,100
"small, lr=0.001",small,0.001,89250,12,2.0491092712624885,0.55264,2.0184689740737,0.5791,100
"small, lr=0.001",small,0.001,89250,13,1.9793953213301982,0.60128,1.943558025248949,0.6211,100
"small, lr=0.001",small,0.001,89250,14,1.8983801779184464,0.63402,1.8577878376349262,0.6508,100
"small, lr=0.001",small,0.001,89250,15,1.8072701343916941,0.6586,1.7630120919722598,0.6686,100
"small, lr=0.001",small,0.001,89250,16,1.7087224800716052,0.67598,1.662555529779866,0.6835,100
"small, lr=0.001",small,0.001,89250,17,1.6065820517892653,0.68786,1.5605866883752457,0.693,100
"small, lr=0.001",small,0.001,89250,18,1.505167651534761,0.70088,1.4612128174336252,0.7023,100
"small, lr=0.001",small,0.001,89250,19,1.408239113355303,0.71106,1.367671445540426,0.7133,100
"small, lr=0.001",small,0.001,89250,20,1.318305000901953,0.72192,1.28180218825091,0.7273,100
"small, lr=0.001",small,0.001,89250,21,1.2365708726208784,0.7346,1.204198709323574,0.7394,100
"small, lr=0.001",small,0.001,89250,22,1.16317824197003,0.74882,1.1346087547495227,0.7487,100
"small, lr=0.001",small,0.001,89250,23,1.0976085483287594,0.76008,1.072454881229486,0.7589,100
"small, lr=0.001",small,0.001,89250,24,1.0391323171750992,0.7699,1.016970647616033,0.7703,100
"small, lr=0.001",small,0.001,89250,25,0.9869358696901563,0.77938,0.9673646379203245,0.7796,100
"small, lr=0.001",small,0.001,89250,26,0.940254096359143,0.78686,0.9229146951510356,0.7865,100
"small, lr=0.001",small,0.001,89250,27,0.8984136948431056,0.79422,0.8830141209448042,0.7938,100
"small, lr=0.001",small,0.001,89250,28,0.8608265975621947,0.80112,0.8470873540731964,0.8012,100
"small, lr=0.001",small,0.001,89250,29,0.8269423919520597,0.80662,0.814705105368688,0.8062,100
"small, lr=0.001",small,0.001,89250,30,0.7963355910719455,0.81134,0.7853632725207933,0.8123,100
"small, lr=0.001",small,0.001,89250,31,0.7686108300119011,0.81536,0.7587410785457308,0.8179,100
"small, lr=0.001",small,0.001,89250,32,0.743410014323356,0.82092,0.7345818375873097,0.821,100
"small, lr=0.001",small,0.001,89250,33,0.7204692149716234,0.8248,0.7124584465824715,0.8252,100
"small, lr=0.001",small,0.001,89250,34,0.6994912015112601,0.8285,0.6922331167543708,0.8284,100
"small, lr=0.001",small,0.001,89250,35,0.6802791747982918,0.83258,0.6736111023629616,0.8325,100
"small, lr=0.001",small,0.001,89250,36,0.6626024861294565,0.83578,0.6566115447691879,0.8355,100
"small, lr=0.001",small,0.001,89250,37,0.6463555480532266,0.83878,0.6407389821180776,0.8393,100
"small, lr=0.001",small,0.001,89250,38,0.6313105243700217,0.84188,0.6261698345857295,0.8415,100
"small, lr=0.001",small,0.001,89250,39,0.6173893580690565,0.84462,0.6126172451178894,0.8443,100
"small, lr=0.001",small,0.001,89250,40,0.6044607845958135,0.8471,0.5999842332772667,0.8476,100
"small, lr=0.001",small,0.001,89250,41,0.592415572915751,0.84932,0.5882105955113058,0.8504,100
"small, lr=0.001",small,0.001,89250,42,0.5811815137018007,0.8522,0.5771901774279519,0.8528,100
"small, lr=0.001",small,0.001,89250,43,0.5706578675027824,0.85414,0.5668193465158776,0.8549,100
"small, lr=0.001",small,0.001,89250,44,0.5607984132378617,0.85672,0.557254780048846,0.8569,100
"small, lr=0.001",small,0.001,89250,45,0.5515750207213843,0.85868,0.5480516888662154,0.8597,100
"small, lr=0.001",small,0.001,89250,46,0.5428636319020577,0.86052,0.539456045406358,0.8619,100
"small, lr=0.001",small,0.001,89250,47,0.5346565661053151,0.86234,0.5313237804058465,0.8633,100
"small, lr=0.001",small,0.001,89250,48,0.5269131649886034,0.86412,0.5236603626224865,0.8647,100
"small, lr=0.001",small,0.001,89250,49,0.5195759102579244,0.86562,0.516360363843077,0.8659,100
"small, lr=0.001",small,0.001,89250,50,0.5126342231146771,0.8673,0.5094575281234535,0.8676,100
"small, lr=0.001",small,0.001,89250,51,0.5060524552569731,0.86844,0.5028669451856351,0.8686,100
"small, lr=0.001",small,0.001,89250,52,0.499790489346507,0.8697,0.4966763600097546,0.8701,100
"small, lr=0.001",small,0.001,89250,53,0.4938525650644564,0.8713,0.49074506601492557,0.8708,100
"small, lr=0.001",small,0.001,89250,54,0.4881883485520215,0.87248,0.4850733796701551,0.8724,100
"small, lr=0.001",small,0.001,89250,55,0.4827874411023419,0.87358,0.47964233562532793,0.873,100
"small, lr=0.001",small,0.001,89250,56,0.4776236215090926,0.87424,0.47453606162736517,0.8733,100
"small, lr=0.001",small,0.001,89250,57,0.472721360968213,0.87544,0.4695201554239401,0.8751,100
"small, lr=0.001",small,0.001,89250,58,0.4680047401079386,0.87654,0.4648375819990687,0.8759,100
"small, lr=0.001",small,0.001,89250,59,0.46349990355868875,0.8772,0.4602764787901392,0.8768,100
"small, lr=0.001",small,0.001,89250,60,0.4591961658358279,0.87818,0.4559316750513901,0.8774,100
"small, lr=0.001",small,0.001,89250,61,0.45506362818427115,0.87918,0.4517943272326722,0.8783,100
"small, lr=0.001",small,0.001,89250,62,0.4510996093444717,0.88016,0.44781526140111727,0.8792,100
"small, lr=0.001",small,0.001,89250,63,0.4472729545452151,0.88106,0.4439149708109965,0.8807,100
"small, lr=0.001",small,0.001,89250,64,0.443623341600059,0.88148,0.44032861018137953,0.8808,100
"small, lr=0.001",small,0.001,89250,65,0.4401056637856049,0.88242,0.43670640765182916,0.8815,100
"small, lr=0.001",small,0.001,89250,66,0.43670436977844185,0.88288,0.4333132906493657,0.8822,100
"small, lr=0.001",small,0.001,89250,67,0.43345293066663565,0.8836,0.4300390064236937,0.8835,100
"small, lr=0.001",small,0.001,89250,68,0.43030240285680477,0.88432,0.4268053516470088,0.8843,100
"small, lr=0.001",small,0.001,89250,69,0.4272659149383734,0.8849,0.4237427156750047,0.8855,100
"small, lr=0.001",small,0.001,89250,70,0.4243391836870266,0.88554,0.420744216603014,0.8863,100
"small, lr=0.001",small,0.001,89250,71,0.421506383200231,0.88588,0.41787899771855536,0.8872,100
"small, lr=0.001",small,0.001,89250,72,0.4187855504654692,0.88658,0.4151454012617961,0.8874,100
"small, lr=0.001",small,0.001,89250,73,0.4161446913536808,0.88712,0.4124505396319355,0.8876,100
"small, lr=0.001",small,0.001,89250,74,0.4135789694277226,0.8876,0.40993545097376527,0.8882,100
"small, lr=0.001",small,0.001,89250,75,0.4110879199516794,0.88834,0.4074534721264215,0.8882,100
"small, lr=0.001",small,0.001,89250,76,0.4087177555406538,0.889,0.4049433175315173,0.8889,100
"small, lr=0.001",small,0.001,89250,77,0.4063897148826095,0.8895,0.40262702870946976,0.889,100
"small, lr=0.001",small,0.001,89250,78,0.4041031258980413,0.88974,0.4003936752363346,0.8904,100
"small, lr=0.001",small,0.001,89250,79,0.40194921965855385,0.89062,0.39809274359477187,0.8904,100
"small, lr=0.001",small,0.001,89250,80,0.39982541877388655,0.89092,0.3960380094039137,0.891,100
"small, lr=0.001",small,0.001,89250,81,0.397773394323129,0.89134,0.39390017640799163,0.8914,100
"small, lr=0.001",small,0.001,89250,82,0.39576843840511855,0.89198,0.3918437675718754,0.8917,100
"small, lr=0.001",small,0.001,89250,83,0.3937978439553063,0.89248,0.38988271177973466,0.8922,100
"small, lr=0.001",small,0.001,89250,84,0.3919189556220881,0.89284,0.38799351568239654,0.8926,100
"small, lr=0.001",small,0.001,89250,85,0.39005736188741313,0.89296,0.38615920352074484,0.8927,100
"small, lr=0.001",small,0.001,89250,86,0.38827778367588517,0.89342,0.3843324431788845,0.8936,100
"small, lr=0.001",small,0.001,89250,87,0.3865240266671116,0.8937,0.3825062679364918,0.894,100
"small, lr=0.001",small,0.001,89250,88,0.38481707667916903,0.89402,0.3807973464069404,0.8943,100
"small, lr=0.001",small,0.001,89250,89,0.38314482210941947,0.8944,0.3791562166445879,0.8941,100
"small, lr=0.001",small,0.001,89250,90,0.3815159416955863,0.89474,0.37743960029034146,0.8946,100
"small, lr=0.001",small,0.001,89250,91,0.3799358617063122,0.89484,0.37586463119193675,0.895,100
"small, lr=0.001",small,0.001,89250,92,0.37836494076064076,0.89532,0.37431277387342154,0.8955,100
"small, lr=0.001",small,0.001,89250,93,0.3768675279586683,0.89562,0.37273505426681375,0.8951,100
"small, lr=0.001",small,0.001,89250,94,0.3753956424501608,0.89574,0.37124168512472616,0.8955,100
"small, lr=0.001",small,0.001,89250,95,0.37393571388533253,0.89614,0.3698008797577609,0.896,100
"small, lr=0.001",small,0.001,89250,96,0.37251668667475685,0.89654,0.3683811959159654,0.8962,100
"small, lr=0.001",small,0.001,89250,97,0.37112736480859787,0.89684,0.3670255644604103,0.8971,100
"small, lr=0.001",small,0.001,89250,98,0.3697687876434517,0.89698,0.36559136865739467,0.8969,100
"small, lr=0.001",small,0.001,89250,99,0.36843830264303457,0.89732,0.3643420112514115,0.8975,100
"small, lr=0.001",small,0.001,89250,100,0.3671279887298344,0.8976,0.36292935607492693,0.8978,100
"small, lr=0.001",small,0.001,773955,1,2.299501746993913,0.13692,2.2971536556916585,0.2061,100
"small, lr=0.001",small,0.001,773955,2,2.2946048618208543,0.2741,2.291901281626611,0.3495,100
"small, lr=0.001",small,0.001,773955,3,2.2886419555971966,0.3914,2.2852239593569417,0.4245,100
"small, lr=0.001",small,0.001,773955,4,2.280866925932559,0.43242,2.276351071718443,0.4394,100
"small, lr=0.001",small,0.001,773955,5,2.2704370486286467,0.42944,2.2643670808670544,0.4346,100
"small, lr=0.001",small,0.001,773955,6,2.256340346240914,0.42144,2.2481844938141644,0.4222,100
"small, lr=0.001",small,0.001,773955,7,2.2374003434187437,0.42628,2.2265648351412137,0.4132,100
"small, lr=0.001",small,0.001,773955,8,2.2123127061349477,0.4228,2.1981455077076784,0.4225,100
"small, lr=0.001",small,0.001,773955,9,2.179690844098115,0.43242,2.161571925251497,0.4491,100
"small, lr=0.001",small,0.001,773955,10,2.138226377219712,0.46758,2.115564090070696,0.486,100
"small, lr=0.001",small,0.001,773955,11,2.0867718905315042,0.50484,2.0591440509826433,0.5315,100
"small, lr=0.001",small,0.001,773955,12,2.0244907756511616,0.5557,1.9916121355634215,0.5801,100
"small, lr=0.001",small,0.001,773955,13,1.950982218103967,0.60218,1.9129174010961532,0.6258,100
"small, lr=0.001",small,0.001,773955,14,1.8666567786174393,0.63942,1.8240483284805071,0.6595,100
"small, lr=0.001",small,0.001,773955,15,1.7732207058863403,0.6657,1.7274214745247756,0.6797,100
"small, lr=0.001",small,0.001,773955,16,1.6737490474560406,0.68288,1.626676887774356,0.694,100
"small, lr=0.001",small,0.001,773955,17,1.5722108417833718,0.69486,1.5259223101455572,0.7024,100
"small, lr=0.001",small,0.001,773955,18,1.4726038078205226,0.70724,1.4287226173889178,0.7107,100
"small, lr=0.001",small,0.001,773955,19,1.3781263967329278,0.71818,1.3377677300443827,0.7241,100
"small, lr=0.001",small,0.001,773955,20,1.2908069325832083,0.73062,1.25445410240399,0.7364,100
"small, lr=0.001",small,0.001,773955,21,1.211544333848065,0.74388,1.1792051404956125,0.7477,100
"small, lr=0.001",small,0.001,773955,22,1.1403643022439702,0.75742,1.1118550259543336,0.7587,100
"small, lr=0.001",small,0.001,773955,23,1.0768395560019064,0.76848,1.0516810964870624,0.768,100
"small, lr=0.001",small,0.001,773955,24,1.0201964603893634,0.77728,0.9979935660466015,0.7782,100
"small, lr=0.001",small,0.001,773955,25,0.9697250583617472,0.78576,0.9501225582980469,0.7877,100
"small, lr=0.001",small,0.001,773955,26,0.9246516848383071,0.7921,0.9073665636073196,0.7946,100
"small, lr=0.001",small,0.001,773955,27,0.8843474036031649,0.79854,0.8689565906383073,0.8007,100
"small, lr=0.001",small,0.001,773955,28,0.8481752317847375,0.80558,0.8344595724597821,0.8056,100
"small, lr=0.001",small,0.001,773955,29,0.8156122008702884,0.81028,0.8033889688655081,0.8096,100
"small, lr=0.001",small,0.001,773955,30,0.7862381157106983,0.8153,0.7753738279556623,0.8128,100
"small, lr=0.001",small,0.001,773955,31,0.7596543991370984,0.81874,0.7498102036634299,0.8177,100
"small, lr=0.001",small,0.001,773955,32,0.7354987682676365,0.82304,0.7266381342138716,0.8214,100
"small, lr=0.001",small,0.001,773955,33,0.7134889981645118,0.82662,0.7054371989464696,0.8257,100
"small, lr=0.001",small,0.001,773955,34,0.6933681479755136,0.83052,0.6860747261673611,0.8283,100
"small, lr=0.001",small,0.001,773955,35,0.6749132683429014,0.83358,0.6681882191964924,0.8328,100
"small, lr=0.001",small,0.001,773955,36,0.6579343325126208,0.83646,0.6517581420045016,0.8353,100
"small, lr=0.001",small,0.001,773955,37,0.6422614951080148,0.83966,0.6365490442952446,0.8389,100
"small, lr=0.001",small,0.001,773955,38,0.6277454596594173,0.84286,0.6224650996378975,0.8418,100
"small, lr=0.001",small,0.001,773955,39,0.6142868525177156,0.845,0.6093399367226634,0.8454,100
"small, lr=0.001",small,0.001,773955,40,0.6017577008309063,0.84802,0.5971263818999586,0.848,100
"small, lr=0.001",small,0.001,773955,41,0.5900649938704103,0.85036,0.5857142675249835,0.8499,100
"small, lr=0.001",small,0.001,773955,42,0.5791255617220977,0.85286,0.5749598835635915,0.8527,100
"small, lr=0.001",small,0.001,773955,43,0.5688904117124454,0.85512,0.5648751184214641,0.8552,100
"small, lr=0.001",small,0.001,773955,44,0.5592462825442224,0.8571,0.5553849399116427,0.8575,100
"small, lr=0.001",small,0.001,773955,45,0.5501963076658276,0.85906,0.5464859239698739,0.8595,100
"small, lr=0.001",small,0.001,773955,46,0.5416456583754239,0.86052,0.53801185184814,0.8621,100
"small, lr=0.001",small,0.001,773955,47,0.5335816838494492,0.86268,0.5300162942191313,0.8636,100
"small, lr=0.001",small,0.001,773955,48,0.525934401573281,0.86398,0.5224211501603698,0.8644,100
"small, lr=0.001",small,0.001,773955,49,0.518715972797712,0.86556,0.5152735793149127,0.8659,100
"small, lr=0.001",small,0.001,773955,50,0.5118464388409272,0.86712,0.5084433370872659,0.8669,100
"small, lr=0.001",small,0.001,773955,51,0.5053316770569014,0.86902,0.5020126774949555,0.8671,100
"small, lr=0.001",small,0.001,773955,52,0.4991121606205262,0.87016,0.49593021927862985,0.8683,100
"small, lr=0.001",small,0.001,773955,53,0.4932374815522392,0.87156,0.48995095708977243,0.8694,100
"small, lr=0.001",small,0.001,773955,54,0.4876005110871568,0.87262,0.484271805000529,0.8704,100
"small, lr=0.001",small,0.001,773955,55,0.4822206474430156,0.87362,0.47895489546502185,0.872,100
"small, lr=0.001",small,0.001,773955,56,0.47708761129503036,0.87496,0.473785784301576,0.8721,100
"small, lr=0.001",small,0.001,773955,57,0.4721846049810293,0.87582,0.4689187716420627,0.8738,100
"small, lr=0.001",small,0.001,773955,58,0.46749571558783687,0.87674,0.4641653583872825,0.8743,100
"small, lr=0.001",small,0.001,773955,59,0.4629973033117272,0.87788,0.45965490554821653,0.876,100
"small, lr=0.001",small,0.001,773955,60,0.45869210222423046,0.87892,0.4553203460475952,0.8762,100
"small, lr=0.001",small,0.001,773955,61,0.45456552013138185,0.87962,0.4511923626264884,0.878,100
"small, lr=0.001",small,0.001,773955,62,0.45059326958658946,0.88044,0.4471888255054258,0.8787,100
"small, lr=0.001",small,0.001,773955,63,0.44678935127932723,0.88138,0.44332686304318997,0.8796,100
"small, lr=0.001",small,0.001,773955,64,0.44312350235077835,0.88226,0.4396578766054784,0.8808,100
"small, lr=0.001",small,0.001,773955,65,0.4396093525062475,0.88294,0.4360916862144315,0.8814,100
"small, lr=0.001",small,0.001,773955,66,0.43622065378582464,0.88346,0.4326736729559945,0.8825,100
"small, lr=0.001",small,0.001,773955,67,0.43294586598518786,0.88406,0.4293934556920525,0.8826,100
"small, lr=0.001",small,0.001,773955,68,0.42979959883470675,0.88466,0.4262418533661843,0.8829,100
"small, lr=0.001",small,0.001,773955,69,0.4267494208336154,0.88538,0.423210704577731,0.8831,100
"small, lr=0.001",small,0.001,773955,70,0.4238282776934589,0.88578,0.4202082299151744,0.8845,100
"small, lr=0.001",small,0.001,773955,71,0.4209907395132944,0.88658,0.4173385487471175,0.8852,100
"small, lr=0.001",small,0.001,773955,72,0.41825254596851474,0.88676,0.41459363575462105,0.8865,100
"small, lr=0.001",small,0.001,773955,73,0.4155977330943826,0.88724,0.4120122930228028,0.8877,100
"small, lr=0.001",small,0.001,773955,74,0.41306119805670244,0.88836,0.4093139538385063,0.888,100
